level_0,n,abr_type,height_before,height_after,insert_time,search_time,delete_time
174,8710,lista,13.15,0.0,8.230034777386285e-06,7.72503080091414e-06,3.395137748924174e-06
175,8760,lista,13.38,0.0,8.324718719454846e-06,7.646204406743172e-06,3.3509032695724167e-06
176,8810,lista,13.46,0.0,7.787997871100774e-06,7.62306492323545e-06,3.300689927734371e-06
177,8860,lista,13.46,0.0,7.675480776810358e-06,7.595257628319083e-06,3.285414989393256e-06
178,8910,lista,13.33,0.0,8.31179873332043e-06,7.466389824330805e-06,3.2615974233862334e-06
179,8960,lista,13.25,0.0,8.469513108747455e-06,7.500833170675085e-06,3.2310194758967526e-06
180,9010,lista,13.31,0.0,6.942003438791984e-06,7.567307584982784e-06,3.2984161057445533e-06
181,9060,lista,13.49,0.0,8.044974621438885e-06,7.557395870683812e-06,3.229295009354824e-06
182,9110,lista,12.98,0.0,8.324559750173096e-06,7.490814109701355e-06,3.2279942910424287e-06
183,9160,lista,13.33,0.0,7.93784151295416e-06,7.586644759729844e-06,3.2669866804710627e-06
184,9210,lista,13.62,0.0,7.127044633970489e-06,7.57360126862691e-06,3.219842150655022e-06
185,9260,lista,13.27,0.0,8.574100881826469e-06,7.579630480441011e-06,3.225421142416558e-06
186,9310,lista,13.11,0.0,8.033232396961402e-06,7.490097394974592e-06,3.2038421835051513e-06
187,9360,lista,13.3,0.0,7.349787241302195e-06,7.496862561066126e-06,3.217991700587371e-06
188,9410,lista,13.24,0.0,8.035515883652366e-06,7.504914128761824e-06,3.2095444390695307e-06
189,9460,lista,13.09,0.0,8.846256073849418e-06,7.47893648202899e-06,3.1956377039103965e-06
190,9510,lista,12.9,0.0,6.773298237391773e-06,7.388271763952466e-06,3.179847496377646e-06
191,9560,lista,13.33,0.0,8.160476891489128e-06,7.64532907096585e-06,3.2591357746001815e-06
192,9610,lista,13.3,0.0,8.378926235185357e-06,7.5464787721150476e-06,3.1662227250858748e-06
193,9660,lista,13.11,0.0,7.91923727508067e-06,7.420770210425098e-06,3.158423294731492e-06
194,9710,lista,13.63,0.0,7.4576310335641585e-06,7.627912051758903e-06,3.168604922791919e-06
195,9760,lista,13.02,0.0,8.586301898565704e-06,7.474568652398495e-06,3.173597085537204e-06
196,9810,lista,13.17,0.0,7.917945946875662e-06,7.295710425325723e-06,3.1229182672623406e-06
197,9860,lista,13.11,0.0,6.929106010857066e-06,7.420765562822012e-06,3.138148092620458e-06
198,9910,lista,13.33,0.0,8.909111328720621e-06,7.412076478810043e-06,3.1354146069367527e-06
199,9960,lista,13.43,0.0,7.716452999570593e-06,7.605016382080154e-06,3.2350977585027643e-06
200,10,flag,5.64,5.14,5.4381190034291646e-06,5.9654050460267175e-06,1.3427839976429822e-05
201,60,flag,11.02,9.86,5.4714203339093125e-06,6.6664299868837895e-06,1.3033860007756932e-05
202,110,flag,13.21,11.76,5.882035274267268e-06,7.324772242369632e-06,1.4274424075766649e-05
203,160,flag,14.54,13.13,5.972874559546426e-06,7.73793649500476e-06,1.4795752755276225e-05
204,210,flag,15.66,14.06,6.188316621016081e-06,7.758719612306427e-06,1.5445919611833093e-05
205,260,flag,16.27,14.43,6.270761933050241e-06,8.142160773646677e-06,1.6141442313150597e-05
206,310,flag,17.39,15.24,6.349701065192353e-06,8.087961686415637e-06,1.703807531978416e-05
207,360,flag,17.29,15.13,8.741818060533055e-06,8.334810886733774e-06,1.755763345045125e-05
208,410,flag,17.98,15.62,6.631416219123621e-06,8.694660100846866e-06,1.7370707439345007e-05
209,460,flag,18.55,16.42,1.5722384718796804e-05,8.265151131720062e-06,1.785225938688793e-05
210,510,flag,18.69,16.38,6.551365393935317e-06,8.311562368699086e-06,1.794012111141334e-05
211,560,flag,18.92,16.57,6.612202714125358e-06,8.637797144988977e-06,1.895876557383807e-05
212,610,flag,19.15,16.93,6.673393278866629e-06,8.414614739505947e-06,1.8542024937071227e-05
213,660,flag,19.43,17.01,6.687004436337178e-06,8.2659758175699e-06,1.829977599878806e-05
214,710,flag,19.68,16.92,6.742610862717594e-06,8.435599154548632e-06,1.8485643800413733e-05
215,760,flag,19.97,17.25,8.605828696808633e-06,8.38306989209358e-06,1.908635494629906e-05
216,810,flag,20.11,17.54,7.85659832196455e-06,8.321531531556944e-06,1.91055732713298e-05
217,860,flag,20.33,17.7,7.068011396551472e-06,8.582658598306596e-06,1.915435009492327e-05
218,910,flag,20.27,17.89,7.784064283711545e-06,8.423114272372434e-06,1.89949022020533e-05
219,960,flag,20.33,17.96,6.809270959417783e-06,8.414282160667123e-06,1.908667504449113e-05
220,1010,flag,20.7,18.04,6.97902929037035e-06,8.31099198603985e-06,1.941931316954045e-05
221,1060,flag,20.83,18.12,7.134028689536552e-06,8.667398563409493e-06,1.9940076226463e-05
222,1110,flag,20.69,18.18,1.1754956882111753e-05,8.41569353942825e-06,1.9526708630628852e-05
223,1160,flag,21.04,18.41,7.107028811721397e-06,8.465620104712358e-06,1.9536511033932365e-05
224,1210,flag,21.31,18.68,8.437844354097447e-06,8.52199423831813e-06,1.9524155894375765e-05
225,1260,flag,21.15,18.13,8.71800127048941e-06,8.555778823436066e-06,1.9805178062424168e-05
226,1310,flag,21.37,18.56,7.780982281463866e-06,8.38901562560569e-06,1.948476437408022e-05
227,1360,flag,21.82,18.98,7.614365821723368e-06,8.296914677644322e-06,1.958695482352703e-05
228,1410,flag,21.41,18.86,7.75577486646598e-06,8.415194427339078e-06,1.9754017954043814e-05
229,1460,flag,21.82,19.08,7.293378439305954e-06,8.443385424221585e-06,2.0243249588207143e-05
230,1510,flag,22.03,19.28,1.02582858677901e-05,8.696981299965108e-06,2.0453740825304516e-05
231,1560,flag,21.93,19.22,8.921904801899799e-06,8.35538497553082e-06,2.0105657794106384e-05
232,1610,flag,22.32,19.37,8.964075869300462e-06,8.503533810825551e-06,2.032424624390634e-05
233,1660,flag,22.1,19.49,9.981484211332181e-06,8.436613615965351e-06,2.0157687927594342e-05
234,1710,flag,22.22,19.52,8.211291416987558e-06,8.380477635166854e-06,2.0123868712374747e-05
235,1760,flag,22.42,19.55,8.163155261792616e-06,8.645302746934e-06,2.0153551773246778e-05
236,1810,flag,22.5,20.09,8.707794253651875e-06,8.483743981088058e-06,1.999545776396318e-05
237,1860,flag,22.45,19.89,9.602015451582212e-06,8.508745098214438e-06,2.0444894389036427e-05
238,1910,flag,22.49,19.66,1.0526396020426574e-05,8.523066915860805e-06,2.0308993417563884e-05
239,1960,flag,22.72,19.92,8.256495419055794e-06,8.48482675315163e-06,2.015915253282308e-05
240,2010,flag,22.55,19.85,8.033134317332073e-06,8.43741468167221e-06,2.0278029583250212e-05
241,2060,flag,22.52,19.8,8.013854042394652e-06,8.520683607201541e-06,2.0332432036394115e-05
242,2110,flag,22.46,19.68,8.19565422044128e-06,8.502370779178835e-06,2.0339619338562016e-05
243,2160,flag,22.87,20.19,1.0740462320037985e-05,8.465672943808992e-06,2.040901133442377e-05
244,2210,flag,22.87,20.25,7.601666882075067e-06,8.777514183688966e-06,2.096378822620633e-05
245,2260,flag,22.89,20.15,7.803893496186267e-06,8.692554407743392e-06,2.0806274494206848e-05
246,2310,flag,22.73,20.16,7.695159874671424e-06,8.7713713529636e-06,2.0495644177494868e-05
247,2360,flag,23.14,20.32,8.950569063697805e-06,8.557365999075632e-06,2.0252619760235653e-05
248,2410,flag,22.95,20.17,8.034553933280089e-06,8.485297708170115e-06,2.0953617857795746e-05
249,2460,flag,23.04,20.1,8.746058407671707e-06,8.64858790116965e-06,2.0183292517892954e-05
250,2510,flag,23.38,20.55,8.112442351102076e-06,8.635157846518477e-06,2.0396080478075023e-05
251,2560,flag,23.45,20.37,9.225317619870665e-06,8.469425964399592e-06,2.055045111331566e-05
252,2610,flag,23.42,20.62,8.813710393688533e-06,8.653691810855398e-06,2.049516292962545e-05
253,2660,flag,22.89,20.39,8.074799585903433e-06,8.559241972679751e-06,2.0478795474972635e-05
254,2710,flag,23.33,20.53,8.511574841879432e-06,8.66323819543491e-06,2.0827956647683453e-05
255,2760,flag,23.34,20.66,9.429727529120258e-06,8.515407972428901e-06,2.0782502392154603e-05
256,2810,flag,23.83,20.85,9.437509256854176e-06,8.512758918646521e-06,2.062311138388395e-05
257,2860,flag,23.7,20.59,8.217264216967066e-06,8.646295594425048e-06,2.0141374531837624e-05
258,2910,flag,23.66,20.85,8.722954893889351e-06,8.535987015050385e-06,2.0390700704616013e-05
259,2960,flag,23.64,21.06,9.733907445075367e-06,8.520003445605776e-06,2.037320591849444e-05
260,3010,flag,23.58,20.76,8.213317111087683e-06,8.555256598686384e-06,2.0340976158443125e-05
261,3060,flag,23.81,21.11,8.061043800421579e-06,8.438302223742366e-06,2.0460526350011516e-05
262,3110,flag,23.85,20.99,9.942779256863277e-06,8.43404094090285e-06,2.051215264110166e-05
263,3160,flag,24.13,21.51,7.774014035233081e-06,8.594492630885425e-06,2.046953116451398e-05
264,3210,flag,24.1,21.3,8.031586515489354e-06,8.667606083653348e-06,2.0466311233193257e-05
265,3260,flag,24.42,21.65,8.779335168400467e-06,8.6710876297551e-06,2.0713029960734834e-05
266,3310,flag,24.21,21.39,8.888324476927478e-06,8.532704147400123e-06,2.0530591357001197e-05
267,3360,flag,24.47,21.57,8.715628079299689e-06,8.525378443789036e-06,2.054107337207933e-05
268,3410,flag,24.48,21.83,9.07401416153038e-06,8.675398488223454e-06,2.070687701761222e-05
269,3460,flag,24.44,21.72,8.71636563425386e-06,8.726301745788877e-06,2.0834717456626496e-05
270,3510,flag,24.26,21.52,8.706339159385073e-06,8.5202611266236e-06,2.098721780087315e-05
271,3560,flag,24.6,21.75,9.662719044280841e-06,8.762211774272432e-06,2.1084868303900332e-05
272,3610,flag,24.57,21.75,9.486732779241266e-06,8.73882148457526e-06,2.087222594288854e-05
273,3660,flag,24.5,21.77,8.917208726868256e-06,8.44060240374322e-06,2.051698813094169e-05
274,3710,flag,24.71,21.8,9.738669625143072e-06,8.48912502844508e-06,2.04313950042051e-05
275,3760,flag,24.61,21.75,8.591452572060693e-06,8.634722765744765e-06,2.0594471071562827e-05
276,3810,flag,24.4,21.57,1.0255212116815556e-05,8.517341346863256e-06,2.0797781503613865e-05
277,3860,flag,24.52,21.77,8.110104311126257e-06,8.564718683477613e-06,2.1022344332791856e-05
278,3910,flag,24.77,21.66,8.150575623827056e-06,8.54115412417339e-06,2.0933678020962214e-05
279,3960,flag,24.66,22.06,9.359845618678724e-06,8.47855799160739e-06,2.059810331442203e-05
